split,text,labels,cs_group,foreign_langs,english_tokens,chinese_tokens
train,"@khongdongx53939 Good afternoon Mate ! May your all the best on afternoon Wednesday, Joyful and a great mood, keep smiling, stay connected my friend 💞💞↩️↩️↩️","[5, 6]",english_mixed,en,"Good, best, Joyful, smiling, connected, friend",
train,per thật sự là có cách nào dắt bé đi theo được không ? 😭,"[14, 4]",english_mixed,en,per,
train,"@LinglingVNWL Ling, chúng tôi tại @PublicAIData hiểu rằng an ninh và quyền riêng tư là ưu tiên hàng đầu. Hãy để PublicAI giúp bạn kiếm tiền từ những kỹ năng độc đáo của mình một cách an toàn và bảo mật! 🤖💰","[5, 6]",english_mixed,en,Ling,
train,"@LinglingVNWL Rất vui khi nghe Ling cảm thấy yên tâm hơn! Trong lúc ở nhà, Ling có thể tận dụng internet để kiếm tiền thưởng từ @SparkChainAI. Kiếm crypto từ băng thông chưa sử dụng thật dễ dàng!","[2, 5, 1]",english_mixed,en,"Ling, Ling",
val,per sao bố lại đủ bình tĩnh để xem hết cái trailer này nhỉ . _ . sợ vãi,"[13, 16, 17]",english_mixed,en,"per, trailer",
train,Thảo Henry haha xem để luyện 듣기 thôi chị,[2],other_foreign,other,,
train,@𝕋.𝕋ℍ𝕌𝔸ℕ-cựu bổ túc ʕっ•ᴥ•ʔっ  rất ngại 😌,[19],other_foreign,other,,
val,Tôi là người Sài Gòn tag bà 김혜진 Phạm Thảo Ngân đồ chiên cũ thì sao ạ :))),[0],other_foreign,other,,
train,@BR_이상혁 đúng thật😁,"[0, 11]",other_foreign,other,,
train,"E nên sửa lại là ntn 안녕하세요, 채용공고 보고 연락드렸슺니다. 혹시 아직 사람 구하셨다면 연락주시면 감사하겠습니다 thì có vẻ sẽ ổn hơn đó",[26],other_foreign,other,,
train,@Yiesz_ツ @.thie_een. cảm ơn rất nhieu,[9],other_foreign,other,,
val,@btヅ ói dòi oi🥵🥵,"[25, 24]",other_foreign,other,,
train,An Nhiên ối dồi ôi luôn,"[0, 13]",pure_vi,,,
train,Em muốn biết ạ,[14],pure_vi,,,
train,Trà My lạo nhứt đội 4 đó à văn thơ k ai qua,[27],pure_vi,,,
train,Khác gì cúng ông công ông táo đâu,[12],pure_vi,,,
train,đem người đó ra biển cho biển cuốn đi lun .. hihii,"[0, 1]",pure_vi,,,
train,Khóc cũng được nhưng đừng để ai thấy thế thôi,"[19, 11]",pure_vi,,,
train,TỰ HÀO VIỆT NAM,[7],pure_vi,,,
val,Myru Brett Nguyen kiểu này mà nói ko có khi còn đi nhanh hơn ấy.,"[25, 26]",pure_vi,,,
test,ko cao ko đẹp nhưng ko sao 🥰👍,"[5, 11]",pure_vi,,,
train,con mụ đen sai còn già mồm ...,"[26, 23]",pure_vi,,,
val,"câu nói "" ngu thì chết chứ bệnh tật gì "" tao thấy chính xác rồi đây ! dume thiệt hại tài sản còn bị phạt nữa . ngu vãi",[23],pure_vi,,,
train,tránh xa tao ra,"[24, 25]",pure_vi,,,
train,tự hào khi là người Việt Nam🇻🇳🇻🇳,[7],pure_vi,,,
train,"không biết bác dạy ra sao mà đến nỗi . còn tao dạy nhận tiền mặt , dạy 10 ngày là phụ huynh trả luôn tiền tháng đó chứ không có nhập nhằng gì hết","[25, 26]",pure_vi,,,
train,Thật cảm động ❤️bình an là điều tuyệt vời,"[2, 3]",pure_vi,,,
train,Đời người có rất nhiều đều hối tiếc. Nhưng đừng nhìn lại,[18],pure_vi,,,
test,@simondalat Sau mơ là máy tính để ×÷+- @_@,[15],pure_vi,,,
train,"tôi trước nhá: tôi từng vứt tờ vé số 6,7 tỷ vào thùng rác🥹🥹","[18, 20]",pure_vi,,,
train,Thắng đời 2-0 nội ngoại điều thw,"[1, 2, 7]",pure_vi,,,
train,"Cơ hội có đầy,khởi nghiệp k giới hain tuổi tác",[5],pure_vi,,,
train,Nhi Nguyen hay ha nhứt cái đầu không dì 2😅,[0],pure_vi,,,
train,"Phạm Mai à kỳ bài này e có đọc 1 lần r á chi, qá mất dạy lun",[25],pure_vi,,,
test,Nguyễn Thế Anh :)) xử lí vđề anh ạ đọc ở dứoi bcuoi quá,"[0, 11]",pure_vi,,,
train,"Khóc không có vấn đề gì cả, e chỉ cần nhớ là sẽ những lúc e phải cố nín nc mắt để làm việc cần phải làm, xong rồi sẽ có những lúc được ở một mình hay với với thân thì có thể khóc thoải mái thôi.",[11],pure_vi,,,
val,chúng ta thật hạnh phúc và luôn đi chung với nhau suốt chặn đường dài rồi đó nà ?,"[2, 3]",pure_vi,,,
train,Khốn nạn vcc. Mình đi đẻ đau đẻ chấp nhận đẻ sống không nói làm gì vì sợ ko tiêm ko có biết cơn đau ko dặn đc. Xin tiêm tê bác sĩ nhất định ko tiêm nhưng đẻ xong có cảm ơn bác sĩ 2 triệu bác sĩ vừa khâu vừa tiêm tê cho luôn 3 mũi. Phòng khám thất đức thế mà tồn tại đc,"[24, 22]",pure_vi,,,
test,chuẩn kkk 😁,"[0, 11]",pure_vi,,,
train,"trời ơi giống mình quá, có hôm đi học thêm cái có một chị thấy mình hiền quá cái cũng nói sao em không nói gì đi sao em hiền quá vậy🙁","[12, 19, 21]",pure_vi,,,
train,giá như lúc đó tôi không chơi tx,"[18, 21]",pure_vi,,,
val,theo tao thì mày nên chọn thằg nhiều tiền . đến năm cuối thì mày quay lại chọn với thằg nhiều tiền học bổg . m hỏi vậy là mày được lựa chọn mà . đấy là cách tốt nhất cho người hám tiền như mày,"[26, 25, 24]",pure_vi,,,
